epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.9809035658836365,0.9970011115074158,152.0,269.0,0.05683233588933945,0.9757875800132751,0.9861730337142944,10784.0,10841.0,0.9457547068595886,0.977118730545044,69.0,230.0,39.132625579833984,0.9219545125961304,0.9752333164215088,2496.0,2717.0
1,0.9821736216545105,0.9973185658454895,161.0,232.0,0.05214572697877884,0.9790310859680176,0.9853543043136597,10821.0,10832.0,0.9408563375473022,0.9778390526771545,70.0,256.0,1.2672127485275269,0.9138627052307129,0.9748743772506714,2470.0,2716.0
2,0.9828540086746216,0.9975395202636719,146.0,232.0,0.051297515630722046,0.9790594577789307,0.9867188334465027,10821.0,10847.0,0.9490203261375427,0.9826869964599609,132.0,149.0,0.18228879570960999,0.9468426704406738,0.952620267868042,2577.0,2654.0
3,0.9836705327033997,0.9975807070732117,138.0,222.0,0.05138738825917244,0.9799584746360779,0.9874465465545654,10831.0,10855.0,0.9493831396102905,0.9804142117500305,126.0,153.0,0.1985660344362259,0.9456096887588501,0.9547738432884216,2573.0,2660.0
4,0.9841694831848145,0.9978526830673218,143.0,206.0,0.04942662641406059,0.9813675880432129,0.9869917035102844,10847.0,10850.0,0.7311320900917053,0.9569119215011597,1462.0,20.0,0.8264807462692261,0.9851190447807312,0.4752333164215088,2706.0,1324.0
0,0.9837158918380737,0.9980081915855408,137.0,222.0,0.04529379680752754,0.9799602627754211,0.9875375032424927,10831.0,10856.0,0.9495645761489868,0.9783928990364075,110.0,168.0,0.21696530282497406,0.9409282803535461,0.9605168700218201,2558.0,2676.0
1,0.9885693788528442,0.9985485672950745,106.0,146.0,0.035777948796749115,0.9867669939994812,0.990357518196106,10907.0,10887.0,0.9359579086303711,0.9793014526367188,208.0,145.0,0.22785763442516327,0.9467499256134033,0.925341010093689,2581.0,2578.0
2,0.9863467216491699,0.9983295798301697,124.0,177.0,0.04078025370836258,0.9839761257171631,0.9887201189994812,10876.0,10869.0,0.9394049644470215,0.9751919507980347,157.0,177.0,0.23296427726745605,0.9369208812713623,0.9436467885971069,2549.0,2629.0
3,0.9856663346290588,0.9986883401870728,122.0,194.0,0.03859652206301689,0.9824672341346741,0.9889020323753357,10859.0,10871.0,0.946480393409729,0.9790346026420593,161.0,134.0,0.23105719685554504,0.9514316916465759,0.9422110319137573,2592.0,2625.0
4,0.9810850024223328,0.9970075488090515,163.0,254.0,0.06152233108878136,0.9770841002464294,0.9851723909378052,10799.0,10830.0,0.9334179759025574,0.978550136089325,107.0,260.0,0.20178809762001038,0.9115345478057861,0.9615936875343323,2466.0,2679.0
0,0.9658895134925842,0.9929349422454834,300.0,452.0,0.10018263012170792,0.9594436883926392,0.9727098941802979,10601.0,10693.0,0.9468432664871216,0.9814850687980652,129.0,164.0,2.4457218647003174,0.9418646097183228,0.9536970853805542,2562.0,2657.0
1,0.9743717908859253,0.9957862496376038,229.0,336.0,0.072258859872818,0.9697297215461731,0.9791685342788696,10717.0,10764.0,0.9276124835014343,0.9741102457046509,246.0,153.0,5.051385879516602,0.9431860446929932,0.9117013812065125,2573.0,2540.0
2,0.9811303615570068,0.9971262216567993,159.0,257.0,0.056713253259658813,0.9768280386924744,0.9855362772941589,10796.0,10834.0,0.9455732703208923,0.97865229845047,76.0,224.0,18.59735679626465,0.9236537218093872,0.972720742225647,2502.0,2710.0
3,0.9864374399185181,0.9980863928794861,130.0,169.0,0.042469773441553116,0.9846809506416321,0.988174319267273,10884.0,10863.0,0.9461175799369812,0.980037271976471,82.0,215.0,0.20439153909683228,0.926344633102417,0.9705671072006226,2511.0,2704.0
4,0.9868456721305847,0.9984862208366394,115.0,175.0,0.039279188960790634,0.984167218208313,0.9895387887954712,10878.0,10878.0,0.9470247030258179,0.9775510430335999,114.0,178.0,0.31385573744773865,0.9375438690185547,0.9590811133384705,2548.0,2672.0
0,0.9867549538612366,0.9985133409500122,127.0,165.0,0.03819146379828453,0.985042154788971,0.9884471893310547,10888.0,10866.0,0.949201762676239,0.9767274856567383,106.0,174.0,0.3003588020801544,0.9390329122543335,0.9619526267051697,2552.0,2680.0
1,0.988387942314148,0.9987583756446838,104.0,152.0,0.03290862590074539,0.986233115196228,0.9905394315719604,10901.0,10889.0,0.948113203048706,0.9749444723129272,110.0,176.0,0.26148566603660583,0.9382889270782471,0.9605168700218201,2550.0,2676.0
2,0.9920620322227478,0.9988713264465332,74.0,101.0,0.02657797746360302,0.9908348321914673,0.9932684302330017,10952.0,10919.0,0.9158200025558472,0.9584465622901917,51.0,413.0,0.7093140482902527,0.8688055872917175,0.9816941618919373,2313.0,2735.0
3,0.9886600971221924,0.9988751411437988,97.0,153.0,0.034140992909669876,0.9861525893211365,0.991176187992096,10900.0,10896.0,0.9499274492263794,0.9771799445152283,133.0,143.0,0.3581800162792206,0.9488555192947388,0.9522613286972046,2583.0,2653.0
